source,version,published_year,scope,activity_type,name,is_renewable,is_biofuel,is_refrigerant,kgco2e,unit_name,heat_content,biogenic_kgco2e,cost_inr
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-347pcf2,False,False,True,889.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-356pcc3,False,False,True,413.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-449sl (HFE-7100),False,False,True,421.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-569sf2 (HFE-7200),False,False,True,57.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-43-10pccc124 (H-Galden1040x),False,False,True,2820.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-236ca12 (HG-10),False,False,True,5350.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HFE-338pcc13 (HG-01),False,False,True,2910.0,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,PFPMIE,False,False,True,9710.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Methylene chloride,False,False,True,9.0,kg,,,120.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,Methyl chloride,False,False,True,12.0,kg,,,120.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,CFC-11/R11 (trichlorofluoromethane),False,False,True,4660.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,CFC-12/R12 (dichlorodifluoromethane),False,False,True,10200.0,kg,,,25.0
GHG Protocol,ar5,2022,Scope 1,Fugitive Emissions,HCFC-22/R22 (chlorodifluoromethane),False,False,True,1760.0,kg,,,25.0
IPCC,ar6,2023,Scope 1,Fugitive Emissions,R-404A,False,False,True,4562.4,kg,,,250.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Landfill Gas,False,True,False,0.004394089206247,m3,18.070588711693,0.891834827399178,35.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Other Biomass Gases,False,True,False,0.005934285422869,m3,24.404609497235,1.20443672566281,35.0
